#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Mycobacterium avium subsp. paratuberculosis","Bacteria;Terrabacteria group;Actinobacteria","MAPK_JJ1/13","SAMN10410790","PRJNA505099","GCA_003816035.1","Complete",4.83865,69.3,"chromosome:NZ_CP033909.1/CP033909.1",,1,4355,"2018-11-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/816/035/GCA_003816035.1_ASM381603v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/816/035/GCF_003816035.1_ASM381603v1"
"Mycobacterium avium subsp. paratuberculosis","Bacteria;Terrabacteria group;Actinobacteria","MAPK_CN7/15","SAMN10337859","PRJNA498906","GCA_003713025.1","Complete",4.83715,69.3,"chromosome:NZ_CP033428.1/CP033428.1",,1,4321,"2018-11-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/713/025/GCA_003713025.1_ASM371302v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/713/025/GCF_003713025.1_ASM371302v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","H107","SAMN06292065","PRJNA369711","GCA_003287165.1","Complete",4.4188,65.6,"chromosome:NZ_CP019612.1/CP019612.1",,1,4134,"2018-07-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/287/165/GCA_003287165.1_ASM328716v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/287/165/GCF_003287165.1_ASM328716v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","RUS_B0","SAMN09453176","PRJNA476697","GCA_003265005.1","Complete",4.41856,65.6,"chromosome:NZ_CP030093.1/CP030093.1",,1,4115,"2018-06-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/265/005/GCA_003265005.1_ASM326500v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/265/005/GCF_003265005.1_ASM326500v1"
"Mycobacterium avium subsp. paratuberculosis","Bacteria;Terrabacteria group;Actinobacteria","MAPK_CN4/13","SAMN10410800","PRJNA505100","GCA_003815795.1","Complete",4.83655,69.3,"chromosome:NZ_CP033910.1/CP033910.1",,1,4350,"2018-11-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/815/795/GCA_003815795.1_ASM381579v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/795/GCF_003815795.1_ASM381579v1"
"Mycobacterium avium subsp. paratuberculosis","Bacteria;Terrabacteria group;Actinobacteria","FDAARGOS_305","SAMN06173318","PRJNA231221","GCA_002208705.2","Complete",4.83248,69.3,"chromosome:NZ_CP022095.2/CP022095.2",,1,4353,"2017-06-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/208/705/GCA_002208705.2_ASM220870v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/208/705/GCF_002208705.2_ASM220870v2"
"Mycobacterium tuberculosis W-148","Bacteria;Terrabacteria group;Actinobacteria","W-148","SAMN02595346","PRJNA39283","GCA_000193185.2","Complete",4.41855,65.6,"chromosome:NZ_CP012090.1/CP012090.1",,1,4100,"2015-08-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/185/GCA_000193185.2_ASM19318v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/193/185/GCF_000193185.2_ASM19318v2"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","MTB2","SAMN06622697","PRJNA379898","GCA_002208235.1","Complete",4.41772,65.6,"chromosome:NZ_CP022014.1/CP022014.1",,1,3985,"2017-06-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/208/235/GCA_002208235.1_ASM220823v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/208/235/GCF_002208235.1_ASM220823v1"
"Mycobacterium avium subsp. paratuberculosis","Bacteria;Terrabacteria group;Actinobacteria","MAPK_CN9/15","SAMN10337856","PRJNA498904","GCA_003713045.1","Complete",4.83126,69.3,"chromosome:NZ_CP033427.1/CP033427.1",,1,4330,"2018-11-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/713/045/GCA_003713045.1_ASM371304v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/713/045/GCF_003713045.1_ASM371304v1"
"Mycobacterium avium subsp. paratuberculosis","Bacteria;Terrabacteria group;Actinobacteria","MAP/TANUVAS/TN/India/2008","SAMN04544372","PRJNA314834","GCA_001653355.1","Complete",4.82978,69.3,"chromosome:NZ_CP015495.1/CP015495.1",,1,4316,"2016-05-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/653/355/GCA_001653355.1_ASM165335v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/653/355/GCF_001653355.1_ASM165335v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","H54","SAMN06292592","PRJNA369711","GCA_003287125.1","Complete",4.41694,65.6,"chromosome:NZ_CP019610.1/CP019610.1",,1,4123,"2018-07-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/287/125/GCA_003287125.1_ASM328712v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/287/125/GCF_003287125.1_ASM328712v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","L","SAMN12816907","PRJNA573545","GCA_008761675.1","Complete",4.41667,65.6,"chromosome:NZ_CP044345.1/CP044345.1",,1,4033,"2019-10-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/761/675/GCA_008761675.1_ASM876167v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/761/675/GCF_008761675.1_ASM876167v1"
"Mycobacterium avium subsp. paratuberculosis MAP4","Bacteria;Terrabacteria group;Actinobacteria","MAP4","SAMN02603716","PRJNA168471","GCA_000390085.1","Complete",4.82942,69.3,"chromosome:NC_021200.1/CP005928.1",,1,4362,"2013-05-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/390/085/GCA_000390085.1_ASM39008v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/085/GCF_000390085.1_ASM39008v1"
"Mycobacterium avium subsp. paratuberculosis","Bacteria;Terrabacteria group;Actinobacteria","E93","SAMN03252736","PRJNA269152","GCA_000835265.1","Complete",4.78606,69.3,"chromosome:NZ_CP010114.1/CP010114.1",,1,4249,"2015-02-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/835/265/GCA_000835265.1_ASM83526v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/835/265/GCF_000835265.1_ASM83526v1"
"Mycobacterium tuberculosis str. Kurono","Bacteria;Terrabacteria group;Actinobacteria","Kurono","SAMD00000334","PRJDB1582","GCA_000828995.1","Complete",4.41508,65.6,"chromosome:NZ_AP014573.1/AP014573.1",,1,4142,"2014-12-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/995/GCA_000828995.1_ASM82899v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/995/GCF_000828995.1_ASM82899v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","AUSMDU00018547","SAMN13191639","PRJNA556438","GCA_009664875.1","Complete",4.41477,65.6,"chromosome:NZ_CP045962.1/CP045962.1",,1,3962,"2019-11-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/664/875/GCA_009664875.1_ASM966487v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/664/875/GCF_009664875.1_ASM966487v1"
"Mycobacterium avium subsp. paratuberculosis","Bacteria;Terrabacteria group;Actinobacteria","E1","SAMN03252100","PRJNA269152","GCA_000835225.1","Complete",4.781,69.3,"chromosome:NZ_CP010113.1/CP010113.1",,1,4179,"2015-02-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/835/225/GCA_000835225.1_ASM83522v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/835/225/GCF_000835225.1_ASM83522v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","SIT745/EAI1-MYS","SAMN04492771","PRJNA312026","GCA_001597645.2","Complete",4.41474,65.6,"chromosome:NZ_CP046529.1/CP046529.1",,1,4009,"2019-12-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/597/645/GCA_001597645.2_ASM159764v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/597/645/GCF_001597645.2_ASM159764v2"
"Mycobacterium tuberculosis CCDC5180","Bacteria;Terrabacteria group;Actinobacteria","CCDC5180","SAMN03081432","PRJNA66071","GCA_000572195.1","Complete",4.41435,65.6,"chromosome:NZ_CP002885.1/CP002885.1",,1,4121,"2014-02-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/195/GCA_000572195.1_ASM57219v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/572/195/GCF_000572195.1_ASM57219v1"
"Mycobacterium tuberculosis CCDC5079","Bacteria;Terrabacteria group;Actinobacteria","CCDC5079","SAMN02603646","PRJNA66069","GCA_000400615.1","Complete",4.41432,65.6,"chromosome:NC_021251.1/CP002884.1",,1,4119,"2013-05-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/400/615/GCA_000400615.1_ASM40061v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/400/615/GCF_000400615.1_ASM40061v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","WC078","SAMN07414819","PRJNA395786","GCA_003006135.1","Complete",4.41371,65.6,"chromosome:NZ_CP022577.1/CP022577.1",,1,4126,"2018-03-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/006/135/GCA_003006135.1_ASM300613v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/006/135/GCF_003006135.1_ASM300613v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","WC059","SAMN07414820","PRJNA395787","GCA_003006115.1","Complete",4.41367,65.6,"chromosome:NZ_CP022578.1/CP022578.1",,1,4123,"2018-03-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/006/115/GCA_003006115.1_ASM300611v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/006/115/GCF_003006115.1_ASM300611v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","HN-506","SAMD00076258","PRJDB5607","GCA_002357975.1","Complete",4.41336,65.6,"chromosome:NZ_AP018036.1/AP018036.1",,1,4120,"2017-05-10T23:04:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/357/975/GCA_002357975.1_ASM235797v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/357/975/GCF_002357975.1_ASM235797v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","H83","SAMN06292590","PRJNA369711","GCA_003287145.1","Complete",4.41321,65.6,"chromosome:NZ_CP019611.1/CP019611.1",,1,4117,"2018-07-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/287/145/GCA_003287145.1_ASM328714v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/287/145/GCF_003287145.1_ASM328714v1"
"Mycobacterium tuberculosis 49-02","Bacteria;Terrabacteria group;Actinobacteria","49-02","SAMEA3865285","PRJEB4916","GCA_000786505.1","Complete",4.41238,65.6,"chromosome I:NZ_HG813240.1/HG813240.1",,1,4122,"2014-11-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/786/505/GCA_000786505.1_MT49-02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/786/505/GCF_000786505.1_MT49-02"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","SCAID 187.0","SAMN03921880","PRJNA291131","GCA_001275565.2","Complete",4.41183,65.6,"chromosome:NZ_CP012506.2/CP012506.2",,1,4111,"2015-08-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/275/565/GCA_001275565.2_ASM127556v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/275/565/GCF_001275565.2_ASM127556v2"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","GG-90-10","SAMN08199305","PRJNA422870","GCA_002886335.1","Complete",4.4116,65.6,"chromosome:NZ_CP025601.1/CP025601.1",,1,4135,"2018-01-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/886/335/GCA_002886335.1_ASM288633v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/886/335/GCF_002886335.1_ASM288633v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","GG-111-10","SAMN08199254","PRJNA422870","GCA_002886145.1","Complete",4.41156,65.6,"chromosome:NZ_CP025593.1/CP025593.1",,1,4128,"2018-01-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/886/145/GCA_002886145.1_ASM288614v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/886/145/GCF_002886145.1_ASM288614v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","GG-37-11","SAMN08199347","PRJNA422870","GCA_002886685.1","Complete",4.41153,65.6,"chromosome:NZ_CP025598.1/CP025598.1",,1,4134,"2018-01-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/886/685/GCA_002886685.1_ASM288668v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/886/685/GCF_002886685.1_ASM288668v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","GG-229-10","SAMN08199266","PRJNA422870","GCA_002886585.1","Complete",4.41152,65.6,"chromosome:NZ_CP025608.1/CP025608.1",,1,4127,"2018-01-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/886/585/GCA_002886585.1_ASM288658v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/886/585/GCF_002886585.1_ASM288658v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","ZMC13-88","SAMN02943515","PRJNA256478","GCA_000738475.1","Complete",4.41151,65.6,"chromosome:NZ_CP009101.1/CP009101.1",,1,4094,"2014-08-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/738/475/GCA_000738475.1_ASM73847v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/738/475/GCF_000738475.1_ASM73847v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","DK9897","SAMN06141171","PRJNA357378","GCA_001922485.1","Complete",4.41151,65.6,"chromosome:NZ_CP018778.1/CP018778.1",,1,3993,"2016-12-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/922/485/GCA_001922485.1_ASM192248v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/922/485/GCF_001922485.1_ASM192248v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","GG-121-10","SAMN08199271","PRJNA422870","GCA_002886775.1","Complete",4.41151,65.6,"chromosome:NZ_CP025603.1/CP025603.1",,1,4134,"2018-01-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/886/775/GCA_002886775.1_ASM288677v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/886/775/GCF_002886775.1_ASM288677v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","GG-77-11","SAMN08199276","PRJNA422870","GCA_002886225.1","Complete",4.41151,65.6,"chromosome:NZ_CP025600.1/CP025600.1",,1,4138,"2018-01-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/886/225/GCA_002886225.1_ASM288622v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/886/225/GCF_002886225.1_ASM288622v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","ZMC13-264","SAMN02943514","PRJNA256478","GCA_000738445.1","Complete",4.41151,65.6,"chromosome:NZ_CP009100.1/CP009100.1",,1,4089,"2014-08-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/738/445/GCA_000738445.1_ASM73844v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/738/445/GCF_000738445.1_ASM73844v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","GG-20-11","SAMN08199302","PRJNA422870","GCA_002886195.1","Complete",4.4115,65.6,"chromosome:NZ_CP025595.1/CP025595.1",,1,4131,"2018-01-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/886/195/GCA_002886195.1_ASM288619v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/886/195/GCF_002886195.1_ASM288619v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LN3668","SAMN07664866","PRJNA407834","GCA_002447735.1","Complete",4.41149,65.6,"chromosome:NZ_CP023616.1/CP023616.1",,1,4003,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/735/GCA_002447735.1_ASM244773v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/735/GCF_002447735.1_ASM244773v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","MDRMA2082","SAMN07664878","PRJNA407834","GCA_002447975.1","Complete",4.41148,65.6,"chromosome:NZ_CP023628.1/CP023628.1",,1,4003,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/975/GCA_002447975.1_ASM244797v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/975/GCF_002447975.1_ASM244797v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","GG-186-10","SAMN08199268","PRJNA422870","GCA_002886865.1","Complete",4.41148,65.6,"chromosome:NZ_CP025607.1/CP025607.1",,1,4128,"2018-01-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/886/865/GCA_002886865.1_ASM288686v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/886/865/GCF_002886865.1_ASM288686v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LE79","SAMN07664855","PRJNA407834","GCA_002447515.1","Complete",4.41148,65.6,"chromosome:NZ_CP023605.1/CP023605.1",,1,4003,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/515/GCA_002447515.1_ASM244751v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/515/GCF_002447515.1_ASM244751v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","GG-36-11","SAMN08199267","PRJNA422870","GCA_002887065.1","Complete",4.41147,65.6,"chromosome:NZ_CP025597.1/CP025597.1",,1,4142,"2018-01-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/887/065/GCA_002887065.1_ASM288706v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/887/065/GCF_002887065.1_ASM288706v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","GG-45-11","SAMN08199303","PRJNA422870","GCA_002887145.1","Complete",4.41147,65.6,"chromosome:NZ_CP025599.1/CP025599.1",,1,4135,"2018-01-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/887/145/GCA_002887145.1_ASM288714v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/887/145/GCF_002887145.1_ASM288714v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","GG-109-10","SAMN08199306","PRJNA422870","GCA_002887255.1","Complete",4.41146,65.6,"chromosome:NZ_CP025602.1/CP025602.1",,1,4134,"2018-01-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/887/255/GCA_002887255.1_ASM288725v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/887/255/GCF_002887255.1_ASM288725v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","TBDM2699","SAMN07664886","PRJNA407834","GCA_002448135.1","Complete",4.41146,65.6,"chromosome:NZ_CP023636.1/CP023636.1",,1,3999,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/448/135/GCA_002448135.1_ASM244813v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/448/135/GCF_002448135.1_ASM244813v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","MDRMA2441","SAMN07664880","PRJNA407834","GCA_002448015.1","Complete",4.41145,65.6,"chromosome:NZ_CP023630.1/CP023630.1",,1,4008,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/448/015/GCA_002448015.1_ASM244801v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/448/015/GCF_002448015.1_ASM244801v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LN3695","SAMN07664868","PRJNA407834","GCA_002447775.1","Complete",4.41145,65.6,"chromosome:NZ_CP023618.1/CP023618.1",,1,4002,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/775/GCA_002447775.1_ASM244777v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/775/GCF_002447775.1_ASM244777v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","GG-137-10","SAMN08199348","PRJNA422870","GCA_002887335.1","Complete",4.41145,65.6,"chromosome:NZ_CP025606.1/CP025606.1",,1,4129,"2018-01-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/887/335/GCA_002887335.1_ASM288733v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/887/335/GCF_002887335.1_ASM288733v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","GG-27-11","SAMN08199265","PRJNA422870","GCA_002886945.1","Complete",4.41144,65.6,"chromosome:NZ_CP025596.1/CP025596.1",,1,4133,"2018-01-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/886/945/GCA_002886945.1_ASM288694v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/886/945/GCF_002886945.1_ASM288694v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","TBDM2717","SAMN07664887","PRJNA407834","GCA_002448155.1","Complete",4.41144,65.6,"chromosome:NZ_CP023637.1/CP023637.1",,1,4002,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/448/155/GCA_002448155.1_ASM244815v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/448/155/GCF_002448155.1_ASM244815v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","GG-5-10","SAMN08199260","PRJNA422870","GCA_002886165.1","Complete",4.41144,65.6,"chromosome:NZ_CP025594.1/CP025594.1",,1,4141,"2018-01-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/886/165/GCA_002886165.1_ASM288616v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/886/165/GCF_002886165.1_ASM288616v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","CSV3611","SAMN07664850","PRJNA407834","GCA_002447415.1","Complete",4.41144,65.6,"chromosome:NZ_CP023600.1/CP023600.1",,1,4009,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/415/GCA_002447415.1_ASM244741v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/415/GCF_002447415.1_ASM244741v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LN180","SAMN07664830","PRJNA407834","GCA_002447015.1","Complete",4.41144,65.6,"chromosome:NZ_CP023580.1/CP023580.1",,1,4001,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/015/GCA_002447015.1_ASM244701v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/015/GCF_002447015.1_ASM244701v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","MDRMA863","SAMN07664875","PRJNA407834","GCA_002447915.1","Complete",4.41143,65.6,"chromosome:NZ_CP023625.1/CP023625.1",,1,4005,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/915/GCA_002447915.1_ASM244791v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/915/GCF_002447915.1_ASM244791v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LE63","SAMN07664853","PRJNA407834","GCA_002447475.1","Complete",4.41141,65.6,"chromosome:NZ_CP023603.1/CP023603.1",,1,4013,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/475/GCA_002447475.1_ASM244747v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/475/GCF_002447475.1_ASM244747v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","TBV4952","SAMN07664890","PRJNA407834","GCA_002448215.1","Complete",4.41141,65.6,"chromosome:NZ_CP023640.1/CP023640.1",,1,4002,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/448/215/GCA_002448215.1_ASM244821v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/448/215/GCF_002448215.1_ASM244821v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","GG-129-11","SAMN08199301","PRJNA422870","GCA_002886405.1","Complete",4.41141,65.6,"chromosome:NZ_CP025604.1/CP025604.1",,1,4129,"2018-01-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/886/405/GCA_002886405.1_ASM288640v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/886/405/GCF_002886405.1_ASM288640v1"
